material_id,formula,band_gap,e_above_hull,composition_obj,space_group,predicted_gap_pbe,predicted_gap_exp,prediction_uncertainty,uncertainty,priority_score
mp-27400,RbCdBr3,2.7536,0.0,Rb4 Cd4 Br12,62,1.511704216428561,1.511704216428561,0.2283855754561866,0.22838557545618662,0.4718456218214824
mp-1112149,Cs2NaInI6,0.6998000000000001,0.045271320749997006,Cs2 Na1 In1 I6,225,1.216270002548709,1.2162700025487092,0.33331661821068403,0.33331661821068403,0.4630963925924471
mp-1206662,Cs2TiI6,0.8643000000000001,0.0,Cs2 Ti1 I6,225,1.1615243520517409,1.1615243520517409,0.22955555857436688,0.22955555857436685,0.4620125158593592
mp-1112627,Cs2InGaBr6,1.244,0.033446606749999004,Cs2 In1 Ga1 Br6,225,1.319282051434011,1.319282051434011,0.10205871021601072,0.1020587102160107,0.46028220062484304
mp-27138,K2PdBr4,1.204899999999999,0.0,K2 Pd1 Br4,123,1.5358354915944668,1.5358354915944665,0.255403445602064,0.25540344560206396,0.4582848567964165
mp-1112501,Cs2TlBiI6,1.3773,0.023518774000002,Cs2 Tl1 Bi1 I6,225,1.295587333223266,1.2955873332232657,0.09512444956683842,0.09512444956683845,0.45604485699026254
mp-672346,RbVI3,0.682,0.022228082333334002,Rb6 V6 I18,185,1.152973795915899,1.152973795915899,0.330241916736146,0.330241916736146,0.45210293004872415
mp-1112338,CsInBr3,1.3782,0.0,Cs2 In2 Br6,225,1.5047957332116724,1.5047957332116724,0.19340145211504361,0.19340145211504353,0.4501090119534559
mp-1070375,CsSnCl3,0.9786999999999991,0.022686821500000003,Cs1 Sn1 Cl3,221,1.2193697488531625,1.2193697488531625,0.19812517726603104,0.198125177266031,0.43321994519666274
mp-570223,CsGeBr3,0.760699999999999,0.016845471999999,Cs1 Ge1 Br3,221,1.1944098699594197,1.1944098699594197,0.21528178539575393,0.21528178539575393,0.4329026296322348
mp-28002,Rb3Mn2Br7,1.129,0.023726977708332,Rb3 Mn2 Br7,139,1.537817424355479,1.537817424355479,0.329315806879772,0.3293158068797721,0.4276882445787591
mp-28145,Rb2PdCl6,1.2868,0.0,Rb2 Pd1 Cl6,225,1.5256975176067828,1.5256975176067826,0.19812707150776268,0.19812707150776268,0.42080407367455563
mp-571648,Rb2MnCl6,1.2037,0.0,Rb2 Mn1 Cl6,225,1.5801750236250167,1.5801750236250167,0.2839108712822328,0.2839108712822328,0.41349647017028635
mp-27394,CsSnCl3,2.9154,0.0,Cs4 Sn4 Cl12,14,1.525393215559613,1.5253932155596133,0.18304409139804717,0.18304409139804717,0.4071148501476036
mp-1113232,Cs2AgMoCl6,0.9531000000000001,0.043438118333334004,Cs2 Ag1 Mo1 Cl6,225,1.2562903041743931,1.2562903041743927,0.19311562482699868,0.19311562482699862,0.4033858843691647
mp-1110803,Rb2AgSbCl6,1.6275,0.0,Rb2 Ag1 Sb1 Cl6,225,1.4915383961710247,1.4915383961710247,0.11935273793093913,0.11935273793093912,0.40189589197951053
mp-1110871,K2CuBiCl6,1.161699999999999,0.0,K2 Cu1 Bi1 Cl6,225,1.5174568719608117,1.517456871960812,0.1575870308552277,0.15758703085522777,0.39599486044987764
mp-725939,KHgI3,1.7116,0.014913207624997002,K4 Hg4 I12,33,1.482389508221392,1.482389508221392,0.15812383847219652,0.1581238384721965,0.39222241130650914
mp-22978,Rb2MnCl4,1.2877,0.0,Rb2 Mn1 Cl4,139,1.5621815522155271,1.5621815522155271,0.2303599539531544,0.2303599539531543,0.3922016549106858
mp-1114113,Rb2TlSbBr6,1.1629,0.041239945250005,Rb2 Tl1 Sb1 Br6,225,1.299104324611009,1.299104324611009,0.09672450149445623,0.09672450149445624,0.3908650789707689
mp-654372,K2CoCl4,0.8275,0.019707710892856,K48 Co24 Cl96,9,1.1188003690942419,1.118800369094242,0.31261200063052486,0.3126120006305249,0.3906434307979328
mp-1112107,Cs2TlInI6,1.4001000000000001,0.039499220749999,Cs2 Tl1 In1 I6,225,1.3930478585929467,1.3930478585929467,0.10304070442011355,0.10304070442011361,0.38429064981207134
mp-862605,Rb4Zr6CCl18,1.265199999999999,0.0,Rb4 Zr6 C1 Cl18,12,1.5318804496504834,1.5318804496504832,0.1629365545361836,0.1629365545361836,0.3777361470895436
mp-1112896,Cs2AlInI6,0.9565999999999991,0.043304445249999005,Cs2 Al1 In1 I6,225,1.2438951832704497,1.2438951832704497,0.18529154343116463,0.18529154343116463,0.3765627261344079
mp-1079232,Cs2HgPdCl6,0.9921000000000001,0.001713210349997,Cs2 Hg1 Pd1 Cl6,139,1.113332324229362,1.113332324229362,0.22880574967110706,0.22880574967110695,0.3765014692174907
mp-31012,K2(NbBr3)3,1.0786,0.0,K4 Nb6 Br18,12,1.1810039620389416,1.1810039620389416,0.10366453739332988,0.10366453739332988,0.3751053000165112
mp-1110910,K2CuBiBr6,0.8862000000000001,0.045581434750001,K2 Cu1 Bi1 Br6,225,1.2650801780685634,1.2650801780685634,0.1551047905151153,0.15510479051511525,0.37308931633914455
mp-30062,Cs2PtBr6,1.4417,0.0,Cs2 Pt1 Br6,225,1.4904096652572123,1.4904096652572123,0.0772905030967127,0.07729050309671265,0.36417273092169977
mp-1223861,K2PdBr3Cl,1.3535,0.0025530471428570002,K2 Pd1 Br3 Cl1,38,1.5762899481757058,1.5762899481757058,0.22264358754685803,0.22264358754685798,0.35174258142456877
mp-1111634,Rb2InAgCl6,1.293,0.0,Rb2 In1 Ag1 Cl6,225,1.5428495963186568,1.542849596318657,0.15273269715392018,0.15273269715392018,0.35043212155572
mp-1110874,K2InAgCl6,1.2922,0.006189198999998,K2 In1 Ag1 Cl6,225,1.5431928458821484,1.5431928458821482,0.17657170277306253,0.17657170277306258,0.3470176389941133
mp-1211803,K3Au3Br8,0.813399999999999,0.0,K6 Au6 Br16,15,1.0921273131258176,1.0921273131258176,0.2181309048941615,0.21813090489416148,0.33922362867633565
mp-1110873,K2AgSbCl6,1.6025,0.026073496749987,K2 Ag1 Sb1 Cl6,225,1.463512636844402,1.463512636844402,0.11615162526841019,0.11615162526841019,0.33766795752804807
mp-1111195,K2TlSbBr6,1.1146,0.043985325250000006,K2 Tl1 Sb1 Br6,225,1.4831211603416206,1.4831211603416203,0.22274211927260645,0.2227421192726065,0.3330801518089707
mp-570972,K2Mn(NbCl3)6,1.031699999999999,0.015942826319367002,K2 Mn1 Nb6 Cl18,148,1.541367913763733,1.541367913763733,0.19835630312823163,0.1983563031282316,0.3306174140471102
mp-1112498,Cs2TlBiBr6,1.7359,0.008358704500001,Cs2 Tl1 Bi1 Br6,225,1.5420215399315986,1.5420215399315986,0.1558687481521457,0.1558687481521457,0.3205855924651081
mp-1110856,K2CuSbCl6,0.5829999999999991,0.037191452749995,K2 Cu1 Sb1 Cl6,225,1.2010756618742908,1.201075661874291,0.1639854248859115,0.16398542488591153,0.3123571779190032
mp-1110810,Rb2AgBiCl6,2.06,0.0,Rb2 Ag1 Bi1 Cl6,225,1.5738284080161125,1.5738284080161125,0.15538283465624145,0.15538283465624145,0.3029056096819078
mp-1110796,Rb2AgMoCl6,1.0147,0.022125837312501003,Rb2 Ag1 Mo1 Cl6,225,1.488184975897809,1.4881849758978092,0.09024814333099335,0.09024814333099336,0.2895984592596435
mp-998430,CsInI3,1.4872,0.017840497750004,Cs4 In4 I12,2,1.5454297803124122,1.5454297803124126,0.13725326183181105,0.13725326183181105,0.25886304551586103
mp-1111719,Rb2BiAuCl6,0.9711999999999991,0.039008328066666,Rb2 Bi1 Au1 Cl6,225,1.1378684227334757,1.1378684227334757,0.18991850522170117,0.18991850522170114,0.22726583045155063
mp-998231,KGeCl3,1.4859,0.028222893000000002,K1 Ge1 Cl3,8,1.565475366985687,1.565475366985687,0.171706484930239,0.1717064849302389,0.2164940269580336
mp-1114114,Rb2TlBiBr6,1.6711,0.045726620874998,Rb2 Tl1 Bi1 Br6,225,1.5103553901603768,1.5103553901603768,0.14802234826402694,0.1480223482640269,0.21174843152620548
mp-1211892,K3Au3I8,1.0602,0.009331228035715,K6 Au6 I16,15,1.103312932600767,1.1033129326007673,0.08960964287174589,0.08960964287174587,0.19834902727092174
mp-1112923,Cs2ScAuI6,1.0839,0.048978814999998004,Cs2 Sc1 Au1 I6,225,1.1908258497916944,1.1908258497916941,0.10259767751672925,0.10259767751672934,0.18996059622189695
mp-1110921,K2AgBiBr6,1.5765,0.040107347500001,K2 Ag1 Bi1 Br6,225,1.5498769690273244,1.5498769690273246,0.1594604049109721,0.15946040491097216,0.18163670801357024
mp-1111461,Cs2CuSbCl6,0.897999999999999,0.036211915999999005,Cs2 Cu1 Sb1 Cl6,225,1.0958037457123564,1.0958037457123564,0.185615616830342,0.18561561683034197,0.16672203414889689
mp-23534,KSn2I5,1.509799999999999,0.019912043854165,K2 Sn4 I10,140,1.5793819054219218,1.579381905421922,0.10122400066645194,0.10122400066645192,0.16171174112549985
